
-,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,29,3,4,5,6,7,8,9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,0,45,26,15,9,6,4,4,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,2,7,26,41
11,0,27,26,18,12,4,9,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,32
12,0,19,16,13,4,6,1,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,9
13,0,14,9,7,6,5,3,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
14,0,7,4,8,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
15,0,2,8,4,0,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4
16,0,3,3,1,2,1,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
17,0,2,2,3,2,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18,0,2,0,4,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,0,0,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,2,0,1,0
5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,15,3,1,1
6,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,22,22,13,5
7,0,5,8,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,28,31,14
8,0,23,12,3,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,28,38,37
9,0,48,25,19,8,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,20,25,46
